time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2000-01-20-11; 0.6356; 4.5315
2000-01-20-12; 0.6267; 4.5980
2000-01-20-13; 0.5905; 4.4979
2000-01-20-14; 0.6543; 4.7102
2000-01-20-15; 0.6131; 4.5823
2000-01-20-16; 0.6487; 5.4368
2000-01-20-17; 0.7686; 6.2860
2000-01-20-18; 0.7464; 6.6692
2000-01-20-19; 0.6842; 6.1424
2000-01-20-20; 0.6475; 5.3174
2000-01-20-21; 0.7038; 4.8486
2000-01-20-22; 0.7213; 3.6999
2000-01-20-23; 0.7533; 3.8572
2000-01-21-00; 0.8269; 3.7355
2000-01-21-01; 0.8058; 3.8280
2000-01-21-02; 0.8480; 3.8698
2000-01-21-03; 1.0521; 3.8341
2000-01-21-04; 1.0991; 3.9765
2000-01-21-05; 1.1958; 4.0806
2000-01-21-06; 1.3307; 4.1123
2000-01-21-07; 1.5144; 4.3085
2000-01-21-08; 1.5448; 4.3534
2000-01-21-09; 1.6639; 4.5543
2000-01-21-10; 1.6596; 4.5487
2000-01-21-11; 1.7765; 4.7804
2000-01-21-12; 1.9186; 4.8099
2000-01-21-13; 1.8596; 4.9251
2000-01-21-14; 1.6764; 5.0399
2000-01-21-15; 1.6548; 5.1036
2000-01-21-16; 1.7231; 5.3820
2000-01-21-17; 1.7432; 5.2745
2000-01-21-18; 1.6914; 5.2458
2000-01-21-19; 1.5616; 4.9207
2000-01-21-20; 1.6412; 5.1308
2000-01-21-21; 1.4531; 4.8678
2000-01-21-22; 1.2850; 4.6767
2000-01-21-23; 1.3140; 4.8077
2000-01-22-00; 1.4173; 5.2212
2000-01-22-01; 1.5567; 5.6411
2000-01-22-02; 1.3367; 5.0124
2000-01-22-03; 1.2049; 4.8303
2000-01-22-04; 1.1501; 4.7223
2000-01-22-05; 1.0177; 4.2545
2000-01-22-06; 1.0018; 4.4908
2000-01-22-07; 0.9471; 4.1255
2000-01-22-08; 0.9555; 4.1023
2000-01-22-09; 0.8804; 4.0039
2000-01-22-10; 0.8541; 3.7625
2000-01-22-11; 0.8313; 3.5770
2000-01-22-12; 0.8288; 3.7533
2000-01-22-13; 0.8279; 3.4556
2000-01-22-14; 0.8008; 3.5219
2000-01-22-15; 0.8171; 3.5713
2000-01-22-17; 0.8993; 3.5606
2000-01-22-18; 0.8868; 3.7019
2000-01-22-19; 0.8863; 3.7016
2000-01-22-20; 0.8394; 3.5527
2000-01-22-21; 0.9564; 3.6647
2000-01-22-22; 0.9279; 3.4920
2000-01-22-23; 0.8777; 3.5996
2000-01-23-00; 0.8531; 3.5176
2000-01-23-02; 0.8043; 3.5783
2000-01-23-03; 0.7800; 3.5522
2000-01-23-04; 0.7135; 3.6088
2000-01-23-05; 0.7061; 3.4829
2000-01-23-06; 0.5221; 3.5243
2000-01-23-07; 0.5009; 4.0140
2000-01-23-08; 0.4083; 4.2872
2000-01-23-09; 0.3592; 4.3829
2000-01-23-10; 0.3692; 4.3518
2000-01-23-13; 0.3421; 4.7804
2000-01-23-14; 0.2983; 4.9530
2000-01-23-15; 0.3036; 4.9215
2000-01-23-16; 0.3265; 5.6993
2000-01-23-17; 0.2859; 5.7369
2000-01-23-18; 0.2915; 5.4859
2000-01-23-19; 0.3036; 5.6145
2000-01-23-20; 0.2996; 6.7170
2000-01-23-21; 0.3648; 6.5993
2000-01-23-22; 0.3724; 5.5870
2000-01-23-23; 0.3943; 4.5331
2000-01-24-00; 0.4294; 4.6802
2000-01-24-01; 0.4044; 4.5393
2000-01-24-02; 0.4228; 5.1551
2000-01-24-03; 0.3809; 4.7748
2000-01-24-04; 0.3913; 4.5462
2000-01-24-05; 0.3974; 3.9715
2000-01-24-06; 0.4294; 3.6439
2000-01-24-07; 0.4763; 3.3738
2000-01-24-08; 0.5424; 3.2265
2000-01-24-09; 0.5754; 3.2107
2000-01-24-10; 0.6072; 3.2296
2000-01-24-11; 0.5641; 3.4072
2000-01-24-12; 0.5613; 3.5391
2000-01-24-13; 0.5655; 3.8036
2000-01-24-14; 0.5417; 3.6848
2000-01-24-15; 0.4687; 3.6600
2000-01-24-16; 0.4247; 3.8940
2000-01-24-17; 0.3861; 4.2394
2000-01-24-18; 0.3756; 4.4550
2000-01-24-19; 0.3830; 4.9813
2000-01-24-20; 0.4237; 5.2534
2000-01-24-21; 0.5251; 5.5430
2000-01-24-22; 0.5775; 5.5288
2000-01-24-23; 0.6865; 5.9748
2000-01-25-00; 0.7938; 6.2526
2000-01-25-01; 1.2781; 7.1063
2000-01-25-02; 1.5131; 7.6899
2000-01-25-03; 1.6567; 7.4890
2000-01-25-04; 1.5325; 6.6769
2000-01-25-05; 1.5375; 6.2616
2000-01-25-06; 1.6611; 6.0487
2000-01-25-07; 1.4238; 5.5331
2000-01-25-08; 1.5370; 5.2736
2000-01-25-09; 1.6222; 5.0171
2000-01-25-10; 1.8018; 5.3508
2000-01-25-11; 1.7266; 5.1255
2000-01-25-13; 2.3235; 5.9533
2000-01-25-14; 2.5772; 5.8343
2000-01-25-16; 2.6845; 5.8563
2000-01-25-17; 2.9380; 5.7828
2000-01-25-18; 3.0526; 6.1056
2000-01-25-19; 3.0878; 6.1690
2000-01-25-20; 2.9919; 5.7039
2000-01-25-21; 3.2973; 6.5360
2000-01-25-22; 3.4324; 6.5447
2000-01-25-23; 3.8132; 7.1088
2000-01-26-00; 3.9094; 7.4650
2000-01-26-01; 3.9396; 7.4802
2000-01-26-02; 4.1486; 7.7679
2000-01-26-03; 3.2524; 6.8439
2000-01-26-04; 3.4473; 6.9946
2000-01-26-05; 3.1090; 6.7613
2000-01-26-06; 2.6606; 6.5253
2000-01-26-07; 2.5893; 6.6806
2000-01-26-08; 2.2668; 6.5334
2000-01-26-10; 2.3505; 6.8249
2000-01-26-11; 3.0566; 8.3258
2000-01-26-13; 3.2035; 9.0400
2000-01-26-14; 3.4073; 8.7829
2000-01-26-15; 3.3753; 8.6052
2000-01-26-16; 3.2404; 8.1517
2000-01-26-17; 3.5687; 8.4046
2000-01-26-18; 3.1162; 7.8244
2000-01-26-19; 3.0359; 7.7638
2000-01-26-20; 2.8937; 8.0253
2000-01-26-21; 2.6476; 8.0379
2000-01-26-22; 2.6268; 8.4267
2000-01-26-23; 2.4575; 8.6687
2000-01-27-00; 2.3786; 8.8687
2000-01-27-01; 2.3498; 8.8429
2000-01-27-02; 2.3083; 8.1180
2000-01-27-03; 2.0229; 7.0201
2000-01-27-04; 1.7665; 6.8210
2000-01-27-05; 1.7513; 6.3792
2000-01-27-07; 1.5445; 5.8195
2000-01-27-08; 1.5054; 6.0338
2000-01-27-10; 1.3772; 5.3766
2000-01-27-11; 1.4660; 6.0545
2000-01-27-12; 1.4520; 6.1137
2000-01-27-13; 1.4020; 6.3837
2000-01-27-14; 1.1979; 5.5746
2000-01-27-15; 1.2145; 5.5481
2000-01-27-16; 1.1982; 5.7894
2000-01-27-17; 1.0954; 5.6690
2000-01-27-18; 0.9742; 6.1381
2000-01-27-19; 0.8690; 6.1136
2000-01-27-20; 0.8643; 6.9202
2000-01-27-21; 0.8602; 7.9671
2000-01-27-22; 0.8245; 8.3271
2000-01-27-23; 0.8298; 5.1688
2000-01-28-00; 0.8341; 4.6639
2000-01-28-01; 1.1175; 4.7416
2000-01-28-02; 1.2544; 5.0799
2000-01-28-03; 1.2181; 4.8316
2000-01-28-04; 1.1286; 5.0177
2000-01-28-05; 1.0433; 4.7860
2000-01-28-06; 0.9335; 5.2868
2000-01-28-07; 0.8745; 6.2547
2000-01-28-08; 0.6871; 6.0175
2000-01-28-09; 0.7095; 7.5049
2000-01-28-10; 0.9390; 8.8987
2000-01-28-11; 0.7948; 7.5673
2000-01-28-12; 0.7800; 7.9529
2000-01-28-13; 0.8854; 8.0754
2000-01-28-14; 1.1868; 8.5649
2000-01-28-15; 1.1075; 7.9820
2000-01-28-16; 0.9073; 7.5272
2000-01-28-17; 1.0314; 8.3686
2000-01-28-18; 0.7928; 7.6981
2000-01-28-19; 0.7544; 6.8439
2000-01-28-20; 0.7821; 6.7074
2000-01-28-21; 0.7021; 4.5866
2000-01-28-22; 0.7780; 4.3045
2000-01-28-23; 0.7831; 4.2335
2000-01-29-00; 0.8018; 4.0750
2000-01-29-01; 0.8107; 4.1595
2000-01-29-02; 0.8317; 4.3912
2000-01-29-03; 0.8186; 4.1907
2000-01-29-04; 0.6819; 4.9928
2000-01-29-05; 0.6419; 4.6877
2000-01-29-06; 0.5519; 4.6880
2000-01-29-07; 0.6807; 3.8498
2000-01-29-08; 0.4468; 4.1902
2000-01-29-09; 0.4404; 4.7606
2000-01-29-10; 0.4377; 4.3390
2000-01-29-11; 0.5251; 3.9844
2000-01-29-12; 0.6138; 3.4451
2000-01-29-13; 0.5483; 3.6425
2000-01-29-14; 0.5394; 3.5985
2000-01-29-15; 0.5017; 4.3916
2000-01-29-16; 0.5475; 3.8332
2000-01-29-17; 0.5221; 3.6481
2000-01-29-18; 0.4312; 4.0133
2000-01-29-19; 0.3409; 4.2179
2000-01-29-20; 0.2942; 4.1990
2000-01-29-21; 0.2942; 4.4314
2000-01-29-22; 0.2915; 3.8218
2000-01-29-23; 0.2831; 3.8614
2000-01-30-00; 0.2845; 3.9738
2000-01-30-01; 0.2138; 6.1652
2000-01-30-02; 0.2211; 6.0463
2000-01-30-03; 0.2419; 5.6235
2000-01-30-04; 0.2656; 8.3019
2000-01-30-05; 0.2419; 6.8552
2000-01-30-06; 0.2484; 6.5361
2000-01-30-07; 0.2516; 7.4588
2000-01-30-08; 0.2701; 6.1848
2000-01-30-09; 0.2283; 5.8791
2000-01-30-10; 0.2283; 5.4869
2000-01-30-11; 0.2175; 5.7781
2000-01-30-12; 0.1878; 5.9325
2000-01-30-13; 0.2138; 5.4046
2000-01-30-14; 0.2300; 4.8756
2000-01-30-15; 0.2229; 5.6520
2000-01-30-16; 0.1791; 7.8872
2000-01-30-17; 0.2119; 7.3714
2000-01-30-18; 0.1835; 8.4950
2000-01-30-19; 0.2193; 6.4190
2000-01-30-20; 0.2002; 7.9526
2000-01-30-21; 0.2265; 5.5777
2000-01-30-22; 0.1982; 5.7885
2000-01-30-23; 0.1982; 5.8176
2000-01-31-00; 0.1387; 8.3503
2000-01-31-01; 0.1626; 4.9928
2000-01-31-02; 0.1768; 4.6816
2000-01-31-03; 0.1857; 4.3849
2000-01-31-04; 0.2022; 4.2677
2000-01-31-05; 0.2175; 4.0292
2000-01-31-06; 0.2283; 3.9069
2000-01-31-07; 0.2626; 3.4806
2000-01-31-08; 0.3513; 3.4361
2000-01-31-09; 0.6046; 3.4334
2000-01-31-10; 0.7394; 3.6730
2000-01-31-11; 0.8038; 3.8630
2000-01-31-12; 1.0157; 3.8950
2000-01-31-13; 1.2477; 4.1997
2000-01-31-14; 1.5556; 4.5236
2000-01-31-15; 1.9098; 5.0822
2000-01-31-17; 2.4094; 6.0539
2000-01-31-18; 1.9329; 6.0018
2000-01-31-19; 1.9248; 6.2445
2000-01-31-20; 1.8199; 6.2608
2000-01-31-21; 1.6200; 6.2436
2000-01-31-22; 1.4583; 5.5064
2000-01-31-23; 1.6274; 5.6661
2000-02-01-00; 1.4020; 5.0598
2000-02-01-01; 1.2934; 5.0340
2000-02-01-02; 1.2194; 4.6961
2000-02-01-03; 1.3928; 4.8237
2000-02-01-04; 1.6338; 5.2952
2000-02-01-05; 1.8912; 5.4062
2000-02-01-06; 1.8810; 5.4559
2000-02-01-07; 2.0168; 5.8540
2000-02-01-08; 2.0871; 5.9443
2000-02-01-09; 2.0302; 5.7080
2000-02-01-10; 1.9486; 5.5187
2000-02-01-11; 1.8208; 5.7628
2000-02-01-12; 1.6745; 5.3238
2000-02-01-13; 1.6225; 5.5048
2000-02-01-14; 1.5835; 5.5109
2000-02-01-15; 1.6489; 5.5031
2000-02-01-16; 1.5807; 5.5043
2000-02-01-17; 1.5461; 5.6754
2000-02-01-18; 1.4815; 5.8614
2000-02-01-19; 1.3675; 5.6273
2000-02-01-20; 1.4456; 5.7887
2000-02-01-21; 1.3088; 5.0952
2000-02-01-22; 1.1952; 4.9778
2000-02-01-23; 1.1567; 4.7680
2000-02-02-00; 1.1739; 4.8930
2000-02-02-01; 1.2135; 4.9291
2000-02-02-02; 1.0703; 4.8068
2000-02-02-03; 0.9179; 4.9434
2000-02-02-04; 0.8564; 5.0038
2000-02-02-05; 0.8694; 5.9512
2000-02-02-06; 0.8727; 6.3643
2000-02-02-07; 0.8690; 5.7953
2000-02-02-08; 0.9135; 5.0428
2000-02-02-09; 0.8555; 4.8903
2000-02-02-10; 0.7581; 4.2743
2000-02-02-11; 0.6748; 4.3561
2000-02-02-12; 0.5986; 4.5544
2000-02-02-13; 0.5364; 4.7706
2000-02-02-14; 0.5228; 4.6159
2000-02-02-15; 0.5251; 4.4362
2000-02-02-16; 0.4695; 4.5689
2000-02-02-17; 0.4180; 4.7100
2000-02-02-18; 0.3974; 4.4334
2000-02-02-19; 0.4113; 3.9302
2000-02-02-20; 0.5795; 3.7621
2000-02-02-21; 0.5555; 3.6092
2000-02-02-22; 0.7790; 3.5729
2000-02-02-23; 0.8341; 3.4678
2000-02-03-00; 0.6506; 3.4689
2000-02-03-01; 0.5663; 3.4361
2000-02-03-02; 0.4780; 3.4496
2000-02-03-03; 0.4626; 3.4385
2000-02-03-04; 0.4359; 3.6237
2000-02-03-05; 0.3767; 4.1296
2000-02-03-06; 0.3023; 4.5497
2000-02-03-07; 0.3409; 3.9181
2000-02-03-08; 0.3724; 3.9782
2000-02-03-09; 0.3536; 4.3560
2000-02-03-10; 0.3933; 3.9928
2000-02-03-11; 0.3892; 3.9944
2000-02-03-12; 0.4468; 3.8586
2000-02-03-13; 0.4044; 3.9120
2000-02-03-14; 0.4113; 4.1141
2000-02-03-15; 0.4044; 3.9131
2000-02-03-16; 0.3525; 4.2620
2000-02-03-17; 0.3338; 4.8539
2000-02-03-18; 0.3386; 4.9717
2000-02-03-19; 0.3581; 5.1589
2000-02-03-20; 0.3861; 5.1318
2000-02-03-21; 0.3290; 5.1530
2000-02-03-22; 0.3326; 5.5700
2000-02-03-23; 0.2983; 5.1384
2000-02-04-00; 0.3216; 5.4499
2000-02-04-01; 0.2996; 4.9540
2000-02-04-02; 0.2929; 4.5958
2000-02-04-03; 0.3615; 4.3083
2000-02-04-04; 0.3615; 4.4519
2000-02-04-05; 0.3216; 4.4238
2000-02-04-06; 0.3140; 4.4447
2000-02-04-07; 0.3923; 3.6921
2000-02-04-08; 0.4574; 3.5085
2000-02-04-09; 0.5236; 3.4451
2000-02-04-10; 0.6331; 3.4658
2000-02-04-11; 0.6646; 3.5122
2000-02-04-13; 0.8068; 3.7765
2000-02-04-14; 0.7318; 3.6510
2000-02-04-15; 0.7983; 3.7716
2000-02-04-16; 0.9025; 4.0550
2000-02-04-17; 0.7743; 4.1314
2000-02-04-18; 0.7072; 4.0655
2000-02-04-19; 0.6597; 4.2021
2000-02-04-20; 0.7190; 4.5788
2000-02-04-21; 0.6865; 4.6161
2000-02-04-22; 0.6536; 4.7288
2000-02-04-23; 0.6286; 4.6763
2000-02-05-00; 0.5379; 4.5230
2000-02-05-01; 0.5135; 4.5245
2000-02-05-02; 0.4993; 4.5761
2000-02-05-03; 0.4796; 4.5957
2000-02-05-04; 0.4395; 4.5464
2000-02-05-05; 0.3964; 4.6641
2000-02-05-06; 0.3799; 4.7798
2000-02-05-07; 0.3581; 5.1249
2000-02-05-08; 0.3421; 5.3200
2000-02-05-09; 0.3548; 5.2325
2000-02-05-10; 0.3903; 5.1017
2000-02-05-11; 0.4468; 4.4698
2000-02-05-12; 0.4729; 5.2231
2000-02-05-13; 0.5182; 5.6911
2000-02-05-14; 0.5555; 5.8334
2000-02-05-15; 0.5319; 5.9719
2000-02-05-16; 0.5197; 5.5971
2000-02-05-17; 0.4945; 5.6051
2000-02-05-18; 0.4985; 6.2701
2000-02-05-19; 0.4821; 6.0925
2000-02-05-20; 0.6261; 4.9829
2000-02-05-21; 0.7442; 4.0714
2000-02-05-22; 0.8597; 4.1903
2000-02-05-23; 0.8886; 4.3197
2000-02-06-00; 0.7608; 4.2877
2000-02-06-01; 0.8073; 4.1348
2000-02-06-02; 0.9279; 4.0592
2000-02-06-03; 1.0247; 4.0745
2000-02-06-04; 1.0232; 4.0875
2000-02-06-05; 1.0240; 4.1431
2000-02-06-06; 0.9505; 4.0517
2000-02-06-07; 1.0042; 4.0569
2000-02-06-08; 0.9386; 4.2256
2000-02-06-09; 0.8122; 4.2296
2000-02-06-10; 0.7485; 4.3044
2000-02-06-11; 0.7576; 3.9579
2000-02-06-13; 0.8694; 3.7461
2000-02-06-14; 0.6975; 3.5265
2000-02-06-15; 0.9192; 3.4503
2000-02-06-16; 0.9730; 3.6336
2000-02-06-17; 0.8854; 3.5315
2000-02-06-18; 0.9693; 3.4439
2000-02-06-19; 0.7106; 3.2849
2000-02-06-20; 0.6105; 3.2034
2000-02-06-21; 0.5698; 3.1500
2000-02-06-22; 0.5453; 3.2946
2000-02-06-23; 0.5512; 3.4290
2000-02-07-01; 0.4486; 3.3131
2000-02-07-02; 0.5167; 3.2637
2000-02-07-03; 0.4855; 3.2739
2000-02-07-04; 0.7485; 3.5114
2000-02-07-05; 1.1382; 4.0245
2000-02-07-06; 1.3622; 4.1790
2000-02-07-07; 1.8208; 4.6710
2000-02-07-08; 1.8553; 4.8026
2000-02-07-09; 2.0520; 5.0547
2000-02-07-10; 1.8829; 5.0861
2000-02-07-11; 2.0229; 5.1429
2000-02-07-12; 1.8423; 5.0511
2000-02-07-13; 1.8602; 5.2046
2000-02-07-14; 1.7342; 5.1546
2000-02-07-15; 1.5443; 4.9033
2000-02-07-16; 1.7294; 4.8315
2000-02-07-17; 1.5554; 4.9161
2000-02-07-18; 1.6487; 5.0862
2000-02-07-19; 1.3590; 4.7883
2000-02-07-20; 1.2803; 4.6269
2000-02-07-21; 1.0575; 4.3422
2000-02-07-22; 0.9104; 4.0674
2000-02-07-23; 0.8152; 3.7546
2000-02-08-00; 0.7821; 3.6357
2000-02-08-01; 0.7464; 3.6418
2000-02-08-02; 0.7246; 3.6094
2000-02-08-03; 0.6543; 3.6543
2000-02-08-04; 0.6664; 3.5197
2000-02-08-05; 0.6706; 3.4439
2000-02-08-06; 0.5526; 3.3602
2000-02-08-07; 0.4303; 3.4995
2000-02-08-09; 0.4044; 3.3054
2000-02-08-10; 0.3036; 3.5463
2000-02-08-11; 0.2845; 3.7756
2000-02-08-12; 0.2626; 3.7631
2000-02-08-13; 0.3178; 3.7240
2000-02-08-14; 0.2873; 4.1032
2000-02-08-16; 0.2701; 4.7866
2000-02-08-17; 0.2760; 6.3031
2000-02-08-18; 0.2686; 5.1986
2000-02-08-19; 0.2436; 6.0279
2000-02-08-20; 0.2229; 6.4550
2000-02-08-21; 0.2788; 5.0960
2000-02-08-22; 0.5167; 3.4088
2000-02-08-23; 0.5684; 3.4715
2000-02-09-00; 0.6952; 3.5369
2000-02-09-01; 0.8639; 3.6831
2000-02-09-02; 1.2305; 4.0359
2000-02-09-03; 1.5247; 4.2908
2000-02-09-04; 1.7056; 4.5974
2000-02-09-05; 1.7039; 4.6563
2000-02-09-06; 1.9007; 4.7367
2000-02-09-07; 2.3446; 5.1082
2000-02-09-08; 2.1742; 5.1126
2000-02-09-09; 2.4160; 5.2968
2000-02-09-10; 2.5727; 5.3187
2000-02-09-11; 2.7489; 5.5502
2000-02-09-12; 2.6308; 5.5861
2000-02-09-13; 2.5146; 5.5650
2000-02-09-14; 2.6228; 5.4880
2000-02-09-15; 2.5680; 5.5489
2000-02-09-16; 2.5771; 5.4300
2000-02-09-17; 2.6816; 5.6656
2000-02-09-18; 2.3351; 5.3405
2000-02-09-19; 2.3199; 5.4515
2000-02-09-20; 2.0279; 5.5767
2000-02-09-21; 1.6550; 5.2851
2000-02-09-22; 1.6016; 5.2650
2000-02-09-23; 1.4233; 4.9485
2000-02-10-00; 1.4125; 5.0415
2000-02-10-01; 1.3980; 5.1282
2000-02-10-02; 1.2738; 4.7656
2000-02-10-03; 1.1218; 4.7665
2000-02-10-04; 1.0590; 4.8685
2000-02-10-05; 1.1364; 4.9631
2000-02-10-06; 1.1392; 4.9146
2000-02-10-07; 1.0881; 4.8613
2000-02-10-08; 1.0173; 4.9186
2000-02-10-09; 0.9033; 4.8249
2000-02-10-10; 0.8536; 4.8405
2000-02-10-11; 0.8206; 4.7819
2000-02-10-12; 0.6500; 4.8332
2000-02-10-13; 0.6883; 3.8492
2000-02-10-14; 0.8003; 3.7886
2000-02-10-15; 0.7507; 3.8030
2000-02-10-16; 0.7728; 3.8085
2000-02-10-17; 0.7686; 4.1688
2000-02-10-18; 1.1082; 4.5197
2000-02-10-19; 1.0018; 4.4395
2000-02-10-20; 1.0410; 4.2843
2000-02-10-21; 1.2522; 4.5252
2000-02-10-22; 1.3367; 4.6441
2000-02-10-23; 1.3036; 4.7386
2000-02-11-00; 1.2125; 4.8378
2000-02-11-01; 1.2441; 4.6818
2000-02-11-02; 1.2769; 4.6704
2000-02-11-03; 1.1522; 4.5338
2000-02-11-04; 1.3454; 4.5888
2000-02-11-05; 1.3815; 4.5276
2000-02-11-06; 1.3122; 4.5252
2000-02-11-07; 1.1834; 4.5891
2000-02-11-08; 1.0973; 4.6804
2000-02-11-09; 1.0800; 4.7221
2000-02-11-10; 0.9808; 4.6937
2000-02-11-11; 0.9954; 4.7421
2000-02-11-12; 0.8592; 4.5405
2000-02-11-13; 0.8781; 4.8094
2000-02-11-14; 0.8639; 4.8802
2000-02-11-15; 0.9113; 4.9022
2000-02-11-16; 1.0026; 5.1833
2000-02-11-17; 1.3033; 5.8400
2000-02-11-18; 1.2678; 5.5811
2000-02-11-19; 1.2351; 5.6838
2000-02-11-20; 1.2766; 5.7477
2000-02-11-21; 1.2959; 5.7974
2000-02-11-22; 1.3965; 5.9356
2000-02-11-23; 1.2557; 5.8968
2000-02-12-00; 1.1793; 6.0120
2000-02-12-01; 1.1584; 5.8858
2000-02-12-02; 1.0321; 5.9102
2000-02-12-03; 1.0399; 4.2402
2000-02-12-04; 1.0110; 4.2695
2000-02-12-05; 0.7442; 4.3526
2000-02-12-06; 0.6924; 4.7403
2000-02-12-07; 0.6337; 4.8757
2000-02-12-08; 0.6059; 5.2624
2000-02-12-09; 0.6125; 5.3148
2000-02-12-10; 0.6929; 4.3784
2000-02-12-11; 0.6706; 4.1167
2000-02-12-12; 0.5213; 3.8982
2000-02-12-13; 0.5655; 4.2975
2000-02-12-14; 0.4565; 4.9264
2000-02-12-15; 0.5319; 5.6020
2000-02-12-16; 0.5213; 6.4944
2000-02-12-17; 0.5932; 7.3270
2000-02-12-18; 0.5986; 8.0346
2000-02-12-19; 0.6248; 8.0297
2000-02-12-20; 0.7394; 8.8617
2000-02-12-21; 0.6865; 9.1014
2000-02-12-22; 0.6229; 9.2078
2000-02-12-23; 0.7196; 9.3022
2000-02-13-00; 0.5417; 9.2658
2000-02-13-01; 0.6019; 9.1648
2000-02-13-02; 0.6518; 9.3399
2000-02-13-03; 0.9078; 9.3369
2000-02-13-04; 0.7702; 9.2261
2000-02-13-05; 0.7533; 9.1291
2000-02-13-06; 0.8018; 9.3259
2000-02-13-07; 0.7274; 9.2803
2000-02-13-08; 0.5648; 9.0862
2000-02-13-09; 0.5417; 9.1504
2000-02-13-10; 0.4788; 8.4608
2000-02-13-11; 0.4855; 8.9133
2000-02-13-12; 0.4936; 8.7158
2000-02-13-13; 0.5417; 8.8680
2000-02-13-14; 0.6381; 8.4609
2000-02-13-15; 0.5505; 8.5485
2000-02-13-16; 0.6530; 8.9194
2000-02-13-17; 0.6356; 8.0669
2000-02-13-18; 0.6369; 8.5808
2000-02-13-19; 0.6555; 6.5937
2000-02-13-20; 0.6487; 4.4636
2000-02-13-21; 0.6718; 4.7454
2000-02-13-22; 0.6524; 4.5913
2000-02-13-23; 0.7416; 4.1511
2000-02-14-01; 0.9087; 4.1681
2000-02-14-02; 1.0692; 4.3576
2000-02-14-03; 1.1827; 4.4984
2000-02-14-04; 1.3058; 4.6982
2000-02-14-05; 1.3373; 4.8168
2000-02-14-06; 1.3030; 4.9243
2000-02-14-07; 1.2541; 4.9748
2000-02-14-08; 1.1584; 4.9958
2000-02-14-09; 1.1183; 4.8466
2000-02-14-10; 1.0699; 4.8006
2000-02-14-11; 1.0380; 4.5996
2000-02-14-12; 1.1096; 4.4037
2000-02-14-13; 1.3561; 4.3380
2000-02-14-14; 1.5479; 4.5042
2000-02-14-15; 1.8346; 4.6983
2000-02-14-16; 1.8390; 5.0283
2000-02-14-17; 1.7240; 5.0231
2000-02-14-18; 1.9906; 5.6108
2000-02-14-19; 2.0080; 5.8463
2000-02-14-20; 2.6839; 6.2940
2000-02-14-21; 2.7152; 6.8839
2000-02-14-22; 2.6495; 6.8596
2000-02-14-23; 2.3223; 6.7291
2000-02-15-00; 2.4446; 7.0249
2000-02-15-01; 2.2467; 6.6375
2000-02-15-02; 2.2560; 6.7198
2000-02-15-03; 2.1096; 6.6873
2000-02-15-04; 2.3460; 7.0903
2000-02-15-05; 1.9213; 6.6683
2000-02-15-06; 1.7143; 6.6796
2000-02-15-07; 1.7796; 6.5689
2000-02-15-08; 1.7072; 6.4513
2000-02-15-09; 1.6594; 6.5320
2000-02-15-10; 1.4703; 6.2456
2000-02-15-11; 1.6013; 6.7461
2000-02-15-12; 1.6336; 7.0480
2000-02-15-13; 1.5993; 6.2151
2000-02-15-14; 1.4717; 6.2191
2000-02-15-15; 1.2652; 5.7008
2000-02-15-16; 1.2367; 6.0032
2000-02-15-17; 1.2595; 6.2039
2000-02-15-18; 1.1622; 6.9909
2000-02-15-19; 1.1218; 7.5962
2000-02-15-20; 1.0006; 7.9999
2000-02-15-21; 0.9352; 7.5096
2000-02-15-22; 0.8465; 6.8736
2000-02-15-23; 0.7912; 6.3600
2000-02-16-00; 0.7738; 6.5313
2000-02-16-01; 0.7323; 7.1816
2000-02-16-02; 0.7405; 7.3762
2000-02-16-03; 0.6209; 7.1022
2000-02-16-04; 0.7774; 7.5910
2000-02-16-05; 0.7933; 8.3185
2000-02-16-06; 0.8399; 8.6359
2000-02-16-07; 0.7539; 8.3732
2000-02-16-08; 0.8772; 8.8434
2000-02-16-09; 0.7665; 8.1141
2000-02-16-10; 0.7312; 8.0118
2000-02-16-11; 0.7010; 7.7316
2000-02-16-12; 0.5919; 7.2173
2000-02-16-13; 0.5925; 6.6418
2000-02-16-14; 0.9394; 4.1374
2000-02-16-15; 1.4395; 4.4806
2000-02-16-16; 1.8022; 4.9325
2000-02-16-17; 1.9207; 5.0139
2000-02-16-18; 2.1821; 5.2796
2000-02-16-19; 1.9801; 5.4296
2000-02-16-20; 1.9807; 5.4782
2000-02-16-21; 1.6909; 5.4311
2000-02-16-22; 1.5728; 5.5017
2000-02-16-23; 1.5639; 5.5408
2000-02-17-00; 1.4145; 5.4763
2000-02-17-01; 1.3100; 5.4459
2000-02-17-02; 1.1494; 5.3360
2000-02-17-03; 1.2354; 5.5988
2000-02-17-04; 1.1275; 5.6103
2000-02-17-05; 0.9660; 5.5817
2000-02-17-06; 0.8216; 5.7198
2000-02-17-07; 0.7902; 5.7300
2000-02-17-08; 0.7795; 4.6460
2000-02-17-09; 0.7963; 4.0026
2000-02-17-10; 0.8308; 3.8047
2000-02-17-11; 0.8498; 3.9400
2000-02-17-12; 0.8264; 3.8506
2000-02-17-13; 0.7246; 3.6830
2000-02-17-14; 0.6006; 3.6403
2000-02-17-15; 0.5979; 3.5360
2000-02-17-16; 0.5993; 3.4362
2000-02-17-18; 0.4132; 3.6924
2000-02-17-19; 0.3203; 4.4763
2000-02-17-21; 0.2760; 4.7219
